Title,Author,Desc
Ship of Fools,Richard Paul Russo,
Cunning Devil,Chris Underwood,
The Gameshouse,Claire North,
The Warden,Daniel M. Ford,
The List of Seven,Mark Frost,
The Thief Who Pulled on Trouble's Braids,Michael McClung,
Blackwing,Ed McDonald,
The Outside,Ada Hoffmann,
Other Worlds Better Lives,Howard Waldrop,
Foundryside,Robert Jackson Bennett,
Leech,Hiron Ennes,
Starter Villain,John Scalzi,
Velocity Weapon,Megan E O'Keefe,
Children of Time,Adrian Tchaikovsky,
Shards of Earth,Adrian Tchaikovsky,
A Dead Djinn in Cairo,P. Djeli Clark, 
City of Bones,Martha Wells,
Nice Dragons Finish Last,Rachel Aaron,
The Girl Who Drank the Moon,Kelly Barnhill,
Foundryside,Robert Jackson Bennett,
City of Stairs,Bennett, Robert Jackson,
Sharp Ends,Joe Abercrombie,
A Little Hatred,Joe Abercrombie,
The Trouble with Peace,Joe Abercrombie,
The Wisdom of Crowds,Joe Abercrombie,
The Great Change (and Other Lies),Joe Abercrombie,
A Wrinkle in Time,Madeleine L'Engle,
Project Hail Mary,Andy Weir,
Dead Astronauts,Jeff VanderMeer,
The Sorcerer's House,Gene Wolfe,
Avengers of the Moon,Allen Steele,
Lunar Alchemy,Stefon Mears,
The Book of Five Rings,Miyamoto Musashi,
Book of the Samurai,Hagakure,
Hotel Transylvania,Chelsea Quinn Yarbro
